City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Narsaq,GL,2020-05-10 04:08:50,60.92,-46.05,51.8,23,1,21.92
71,Tuktoyaktuk,CA,2020-05-10 04:00:22,69.45,-133.04,37.4,74,20,14.99
72,Arraial Do Cabo,BR,2020-05-10 03:58:30,-22.97,-42.03,70.23,72,0,11.81
73,Nkan,GA,2020-05-10 04:08:50,0.38,9.78,78.8,94,40,4.7
74,Qaanaaq,GL,2020-05-10 04:08:51,77.48,-69.36,9.0,83,99,5.55
75,Mount Gambier,AU,2020-05-10 03:59:08,-37.83,140.77,57.2,71,75,14.99
76,Honningsvag,NO,2020-05-10 04:08:51,70.98,25.97,33.75,83,37,13.04
77,Carbondale,US,2020-05-10 04:08:51,37.73,-89.22,53.6,66,1,6.04
78,Bredasdorp,ZA,2020-05-10 04:08:51,-34.53,20.04,53.6,93,0,4.7
79,Ayan,RU,2020-05-10 04:08:04,56.45,138.17,41.07,66,8,9.17
80,Mahebourg,MU,2020-05-10 03:59:10,-20.41,57.7,73.4,73,40,8.05
81,Nikolskoye,RU,2020-05-10 04:06:14,59.7,30.79,42.8,60,63,4.47
82,New Norfolk,AU,2020-05-10 04:07:02,-42.78,147.06,53.01,68,74,3.0
83,Ponta Delgada,PT,2020-05-10 04:08:52,37.73,-25.67,60.8,93,75,24.16
84,Chipinge,ZW,2020-05-10 04:08:52,-20.19,32.62,52.83,100,41,2.75
85,Petrolina,BR,2020-05-10 04:07:15,-9.4,-40.5,72.57,76,100,19.82
86,Naliya,IN,2020-05-10 04:08:52,23.27,68.83,89.38,50,0,12.1
87,Maiduguri,NG,2020-05-10 04:08:52,11.85,13.16,76.77,20,2,2.53
88,Airai,TL,2020-05-10 04:08:52,-8.93,125.41,71.11,69,58,4.52
89,Vyartsilya,RU,2020-05-10 04:08:53,62.18,30.69,37.36,79,0,2.66
90,Merauke,ID,2020-05-10 03:59:04,-8.47,140.33,82.8,82,72,14.27
91,Yellowknife,CA,2020-05-10 03:58:30,62.46,-114.35,33.8,55,20,12.75
92,Mar Del Plata,AR,2020-05-10 03:59:17,-38.0,-57.56,54.0,93,0,3.36
93,Georgetown,MY,2020-05-10 03:58:59,5.41,100.34,86.0,84,40,3.36
94,Jamestown,US,2020-05-10 03:57:05,42.1,-79.24,35.6,64,90,10.29
95,Luderitz,NA,2020-05-10 04:08:51,-26.65,15.16,55.4,82,0,1.12
96,Kapaa,US,2020-05-10 04:06:01,22.08,-159.32,75.2,73,75,17.22
97,Castro,BR,2020-05-10 04:08:54,-24.79,-50.01,49.39,90,0,3.87
98,Zwiesel,DE,2020-05-10 04:05:18,49.02,13.23,52.0,94,94,2.08
99,Saskylakh,RU,2020-05-10 04:08:54,71.92,114.08,27.55,97,100,6.64
100,Bougouni,ML,2020-05-10 04:08:54,11.42,-7.48,83.61,59,67,7.63
101,Fortuna,US,2020-05-10 03:59:07,40.6,-124.16,55.0,100,1,5.82
102,Beringovskiy,RU,2020-05-10 03:59:02,63.05,179.32,34.0,93,100,31.0
103,Kruisfontein,ZA,2020-05-10 03:59:29,-34.0,24.73,62.73,37,0,7.94
104,Bali,ID,2020-05-10 04:08:54,-8.5,115.0,84.2,89,40,11.41
105,Iqaluit,CA,2020-05-10 04:06:53,63.75,-68.51,32.0,94,90,17.22
106,Ribeira Grande,PT,2020-05-10 04:07:24,38.52,-28.7,59.23,71,25,23.58
107,Kendari,ID,2020-05-10 04:08:55,-3.94,122.5,88.47,52,19,3.8
108,Sola,VU,2020-05-10 04:08:55,-13.88,167.55,86.0,70,75,5.82
109,Poum,NC,2020-05-10 04:00:42,-20.23,164.02,76.42,67,9,6.17
110,De-Kastri,RU,2020-05-10 04:08:55,51.47,140.78,50.68,51,3,9.1
111,Bambous Virieux,MU,2020-05-10 03:59:18,-20.34,57.76,73.99,73,40,8.05
112,Salalah,OM,2020-05-10 03:59:04,17.02,54.09,82.4,78,40,6.93
113,Gawler,AU,2020-05-10 04:08:56,-34.6,138.73,60.01,74,35,1.99
114,Port Augusta,AU,2020-05-10 04:08:56,-32.5,137.77,60.8,59,3,6.93
